Source File	Size	loadResources	load-configure	scan	loadDepInfo	loadInfo	load	generateSnapshots	checkR4R4B	generateNarratives	validate	loadLists	checkConformanceResources	checkConformanceResources2	checkConformanceResources3	generateLogicalMaps	validateExpressions	scanForUsageStats	checkURLsUnique	processProvenanceDetails	generate1	generate2	generateLogicals	makeDependencies	generateExampleZip	generateValidationPack	scanProfilesForR5	scanExamplesForR5
\fsh-generated\resources\ImplementationGuide-fhir.SLexampleIG.json	8771	-	0	0	0	0	0	0	2	660	0	0	0	0	0	0	0	1	0	0	222	189	0	0	0	5	0	1
fsh-generated/resources/CodeSystem-lk-core-allergyintolerance-code-cs.json	613	8	1	0	1	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	17	2460	0	0	1	0	0	0
fsh-generated/resources/CodeSystem-lk-core-district-cs.json	1968	10	0	0	0	0	0	0	1	14	0	0	0	0	0	0	0	0	0	0	24	117	0	0	0	1	0	0
fsh-generated/resources/CodeSystem-lk-core-gn-area-cs.json	1217181	2612	12	0	0	0	0	0	62	4369	0	0	9	8	0	0	0	19	0	0	5437	6357	0	0	0	446	0	6
fsh-generated/resources/CodeSystem-lk-core-health-institution-cs.json	158655	353	1	0	0	0	0	0	7	379	0	0	1	0	0	0	0	2	0	0	730	524	0	0	0	54	0	1
fsh-generated/resources/CodeSystem-lk-core-institution-type-cs.json	3232	14	1	0	0	0	0	0	1	12	0	0	0	0	0	0	0	1	0	0	22	70	0	0	0	2	0	0
fsh-generated/resources/CodeSystem-lk-core-moh-area-cs.json	25654	72	0	0	0	0	0	0	1	74	0	0	0	1	0	0	0	0	0	0	126	138	0	0	0	7	0	0
fsh-generated/resources/CodeSystem-lk-core-ownership-cs.json	495	2	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	9	48	0	0	0	1	0	0
fsh-generated/resources/CodeSystem-lk-core-postalcodes-cs.json	16796	54	0	0	0	0	0	0	1	48	0	0	0	0	0	0	0	1	0	0	82	105	0	0	0	4	0	0
fsh-generated/resources/CodeSystem-lk-core-province-cs.json	1011	3	1	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	12	46	0	0	0	0	0	0
fsh-generated/resources/CodeSystem-lk-core-qualifications-cs.json	1384	4	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	15	49	0	0	0	1	0	0
fsh-generated/resources/StructureDefinition-lk-core-address.json	1663	45	0	0	0	0	0	442	0	477	0	0	1	0	0	0	0	0	0	0	92	794	0	1	0	3	0	0
fsh-generated/resources/StructureDefinition-lk-core-allergy-intolerance.json	1271	22	0	0	0	0	0	892	0	869	0	0	0	0	0	0	0	1	0	0	236	932	0	0	1	8	0	0
fsh-generated/resources/StructureDefinition-lk-core-gn-area-ext.json	1538	79	0	0	0	0	0	196	0	195	0	0	0	0	0	0	0	0	0	0	35	216	0	0	0	2	0	0
fsh-generated/resources/StructureDefinition-lk-core-location.json	1430	23	0	0	0	0	0	936	0	913	0	0	0	0	0	0	0	1	0	0	221	709	0	0	0	7	0	1
